"Country_Name","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"Albania","35.77","36.181","36.287","33.698","32.575","31.664","33.802","30.095","28.501","29.752","29.909","30.631","31.883","30.554","28.651","27.773"
"Albania","26.803","30.139","25.686","18.019","16.646","20.318","20.571","19.88","17.846","16.724","16.689","17.102","19.163","18.956","19.582","20.516"
"Albania","92.83","95.031","97.822","101.108","103.384","107.111","110.785","113.043","115.227","117.099","119.627","122.592","126.086","129.868","133.764","137.777"
"Albania","2.363","2.371","2.937","3.36","2.251","3.605","3.43","2.038","1.932","1.625","2.159","2.478","2.85","3","3","3"
"Albania","94.655","97.034","100","102.18","105.79","109.549","111.4","114.1","116.215","116.982","119.621","122.851","126.537","130.333","134.243","138.27"
"Albania","2.038","2.513","3.057","2.18","3.533","3.553","1.69","2.424","1.853","0.66","2.256","2.7","3","3","3","3"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","8.434","5.092","19.513","10.83","-2.122","-7.989","3.278","-7.683","4.129","9.473","4.962","5.556","5.623","5.381","2.645","4.082"
"Albania","9.912","6.718","22.109","10.227","-2.385","-8.779","3.244","-5.606","-0.226","-9.618","3.657","4.943","3.831","3.672","-1.355","0.927"
"Albania","6.026","12.59","17.317","14.84","0.926","10.83","1.675","-2.252","5.507","14.212","4.638","3.888","6.443","6.904","6.706","7.057"
"Albania","2.948","5.192","20.929","11.262","-11.173","29.755","8.504","5.699","17.741","-43.708","3.696","0.663","6.856","8.325","6.509","7.18"
"Albania","14.1","13.8","13.4","13.1","13.8","14","14","13.4","16","17.5","17.25","17","16.75","16.5","16.25","16"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","3.004","2.981","2.955","2.927","2.898","2.87","2.843","2.816","2.788","2.774","2.76","2.746","2.732","2.719","2.705","2.691"
"Albania","204.533","226.283","252.291","290.078","298.487","320.653","330.449","330.384","323.709","366.696","394.525","419.377","451.67","485.706","522.331","561.402"
"Albania","25.102","25.65","26.072","26.842","26.093","25.867","25.407","24.739","23.719","26.185","27.04","27.079","27.172","27.163","27.145","27.133"
"Albania","232.339","254.762","282.987","342.86","373.832","364.29","376.183","376.241","394.117","442.518","468.551","483.747","498.268","539.259","583.749","624.41"
"Albania","28.515","28.878","29.244","31.726","32.679","29.387","28.923","28.173","28.878","31.6","32.113","31.236","29.976","30.158","30.337","30.179"
"Albania","-27.806","-28.479","-30.695","-52.782","-75.345","-43.637","-45.734","-45.857","-70.408","-75.822","-74.026","-64.369","-46.598","-53.553","-61.419","-63.007"
"Albania","-3.413","-3.228","-3.172","-4.884","-6.586","-3.52","-3.516","-3.434","-5.159","-5.414","-5.074","-4.156","-2.803","-2.995","-3.192","-3.045"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","-1.777","-3.474","-5.166","-21.476","-39.044","-2.033","-4.611","-4.359","-27.073","-35.747","-30.988","-23.477","-3.567","-9.485","-16.739","-17.337"
"Albania","-0.218","-0.394","-0.534","-1.987","-3.413","-0.164","-0.355","-0.326","-1.984","-2.553","-2.124","-1.516","-0.215","-0.53","-0.87","-0.838"
"Albania","468.05","494.737","516.994","595.816","682.552","715.517","772.735","828.268","956.582","1,015.58","1,069.56","1,087.07","1,090.04","1,091.32","1,083.46","1,063.71"
"Albania","57.444","56.079","53.427","55.134","59.667","57.72","59.413","62.02","70.091","72.522","73.305","70.192","65.577","61.032","56.306","51.411"
"Albania","468.05","494.737","516.994","595.816","682.552","715.517","772.735","828.268","956.582","1,015.58","1,069.56","1,087.07","1,090.04","1,091.32","1,083.46","1,063.71"
"Albania","57.444","56.079","53.427","55.134","59.667","57.72","59.413","62.02","70.091","72.522","73.305","70.192","65.577","61.032","56.306","51.411"
"Albania","814.797","882.209","967.67","1,080.68","1,143.94","1,239.65","1,300.62","1,335.49","1,364.78","1,400.38","1,459.06","1,548.70","1,662.24","1,788.10","1,924.24","2,069.05"
"Albania","-0.734","-0.544","-1.138","-2.032","-1.926","-1.352","-1.705","-1.257","-1.377","-1.732","-1.525","-1.652","-1.682","-1.664","-1.411","-1.234"
"Albania","-8.995","-6.045","-10.637","-15.755","-15.929","-11.333","-13.225","-10.185","-10.659","-13.045","-13.154","-13.533","-12.725","-11.604","-9.072","-7.262"
"Algeria","5,285.32","5,374.35","5,555.62","5,686.74","5,779.56","5,988.56","6,157.91","6,318.52","6,495.44","6,742.27","6,945.26","7,214.78","7,496.06","7,776.39","8,055.96","8,337.08"
"Algeria","5.9","1.684","3.373","2.36","1.632","3.616","2.828","2.608","2.8","3.8","3.011","3.881","3.899","3.74","3.595","3.49"
"Algeria","7,562.00","8,501.64","9,352.89","11,043.70","9,968.03","11,991.56","14,526.61","16,208.71","16,643.80","17,205.10","16,929.05","18,273.27","20,107.13","21,990.68","23,857.54","25,782.87"
"Algeria","103.198","117.027","134.977","171.001","137.054","161.207","199.394","209.005","209.703","213.518","175.077","181.71","192.256","202.179","210.906","219.16"
"Algeria","143.076","158.189","168.35","194.201","172.47","200.241","235.902","256.527","256.238","255.183","243.75","253.276","268.236","282.788","296.148","309.255"
"Algeria","160,868.03","161,145.09","164,085.89","164,399.41","163,875.51","166,450.51","167,712.81","168,516.32","171,383.59","170,690.24","172,381.63","175,732.24","179,531.59","183,132.24","186,544.76","189,827.28"
"Algeria","230,162.84","254,913.97","276,238.60","319,265.23","282,636.53","333,302.68","395,637.13","432,289.80","439,150.40","435,572.15","420,180.05","445,086.99","481,568.08","517,875.30","552,447.86","587,051.15"
"Algeria","3,141.03","3,508.96","3,986.56","4,943.50","3,886.06","4,480.72","5,430.57","5,574.20","5,533.06","5,405.53","4,345.43","4,425.97","4,604.56","4,761.26","4,883.77","4,990.06"
"Algeria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Algeria","363.963","381.466","404.825","422.508","432.666","453.789","476.254","497.678","519.953","548.577","570.638","599.829","634.077","671.303","710.548","751.198"
"Algeria","11,077.86","11,437.92","11,956.57","12,214.40","12,267.94","12,612.95","12,970.95","13,273.17","13,719.07","13,888.03","14,163.27","14,610.20","15,186.21","15,809.02","16,453.54","17,104.06"
"Algeria","0.544","0.525","0.514","0.511","0.521","0.513","0.507","0.504","0.502","0.504","0.504","0.506","0.507","0.506","0.505","0.503"
"Algeria","20.777","22.287","23.104","26.138","23.039","26.425","30.502","32.569","32.01","31.363","29.667","30.464","31.711","32.758","33.576","34.322"
"Algeria","31.334","29.837","34.294","37.349","46.959","42.328","38.309","40.723","44.716","47.764","49.051","47.529","48.54","47.084","46.082","45.421"
"Algeria","51.861","54.575","56.964","57.494","47.259","49.869","48.24","46.603","45.114","43.252","31.367","31.352","34.113","35.729","36.208","36.309"
"Algeria","111.47","114.05","118.24","123.98","131.1","136.23","142.36","155.053","160.1","164.77","171.696","178.736","185.885","193.321","201.054","209.096"
"Algeria","1.382","2.315","3.674","4.855","5.743","3.913","4.5","8.916","3.255","2.917","4.204","4.1","4","4","4","4"
"Algeria","111.49","115.77","121.33","127.23","134.55","138.216","145.348","158.48","160.3","168.72","172.09","179.145","186.311","193.764","201.514","209.575"
"Algeria","1.226","3.839","4.803","4.863","5.753","2.725","5.16","9.035","1.148","5.253","1.997","4.1","4","4","4","4"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","6.292","-8.77","14.785","34.873","12.357","-1.781","2.256","14.953","7.326","9.73","-3.311","0.585","2.281","-2.992","-0.662","0.515"
"Algeria","6.292","-8.77","14.785","34.873","12.357","-1.781","2.256","14.953","7.326","9.73","-3.311","0.585","2.281","-2.992","-0.662","0.515"
"Algeria","4.954","-3.007","-1.882","-3.568","-8.443","-3.218","-4.822","-3.652","-6.394","0.06","2.641","1.18","0.997","1.749","2.245","2.517"
"Algeria","5.276","-2.354","-1.935","-3.264","-10.312","-2.882","-3.816","-4.004","-6.89","0.204","0.187","1.068","1.274","1.943","2.322","2.555"
"Algeria","15.265","12.512","13.793","11.333","10.167","9.961","9.971","11","9.829","10.6","11.581","11.705","11.798","11.998","12.289","12.659"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","32.855","33.351","33.858","34.591","35.268","35.978","36.717","37.495","37.9","39.5","40.29","41.056","41.753","42.463","43.185","43.919"
"Algeria","3,082.67","3,639.91","3,687.85","5,190.62","3,676.06","4,393.34","5,790.13","6,395.46","5,957.55","5,718.98","5,017.61","5,278.83","5,980.64","6,675.12","7,309.97","7,921.30"
"Algeria","40.765","42.814","39.43","47.001","36.879","36.637","39.859","39.457","35.794","33.24","29.639","28.888","29.744","30.354","30.64","30.723"
"Algeria","2,052.04","2,454.39","3,114.24","4,190.66","4,220.96","4,439.85","5,853.48","7,058.17","6,024.13","6,980.25","7,333.85","7,334.05","7,695.11","8,091.13","8,525.42","8,974.87"
"Algeria","27.136","28.87","33.297","37.946","42.345","37.025","40.295","43.546","36.194","40.571","43.321","40.135","38.271","36.793","35.735","34.809"
"Algeria","1,030.64","1,185.52","573.608","999.954","-544.895","-46.51","-63.353","-662.711","-66.586","-1,261.27","-2,316.24","-2,055.22","-1,714.46","-1,416.02","-1,215.44","-1,053.57"
"Algeria","13.629","13.945","6.133","9.055","-5.466","-0.388","-0.436","-4.089","-0.4","-7.331","-13.682","-11.247","-8.527","-6.439","-5.095","-4.086"
"Algeria","0.00","0.00","0","0","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","1,013.14","1,170.24","565.667","975.49","-593.362","-99.793","-242.934","-803.888","-74.978","-1,281.38","-2,459.44","-2,138.55","-1,755.54","-1,427.62","-1,188.71","-997.601"
